                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     69,                0.81989,                0.43562,                 1.0221,                0.99465,                0.95263,                0.97692,                 0.7543,                0.74968,                0.35174,                0.86647,              0.0006536,              0.0006536,              0.0006536
                     70,                0.80436,                0.43358,                 1.0138,                0.98783,                0.93846,                0.98419,                0.74913,                0.75547,                0.34752,                0.86451,              0.0006338,              0.0006338,              0.0006338
                     71,                0.80735,                0.43337,                 1.0243,                0.97854,                0.93521,                0.98132,                 0.7497,                0.76438,                0.35725,                0.86275,               0.000614,               0.000614,               0.000614
                     72,                0.79274,                0.42571,                 1.0181,                0.98039,                0.93333,                0.97609,                0.75707,                0.72324,                0.34744,                0.83646,              0.0005942,              0.0005942,              0.0005942
                     73,                0.80507,                0.41778,                 1.0112,                0.99882,                0.93333,                0.97603,                0.75532,                0.75346,                0.36315,                0.86101,              0.0005744,              0.0005744,              0.0005744
                     74,                0.78284,                0.41417,                 1.0205,                0.98897,                0.91986,                0.97767,                0.75885,                0.75598,                0.35548,                0.85769,              0.0005546,              0.0005546,              0.0005546
                     75,                 0.8038,                0.42697,                 1.0228,                 0.9894,                0.93846,                0.98595,                0.76552,                0.74884,                0.35637,                0.85923,              0.0005348,              0.0005348,              0.0005348
                     76,                0.80677,                0.42077,                 1.0155,                0.99205,                0.92821,                0.97562,                0.76132,                0.74833,                0.35056,                0.85656,               0.000515,               0.000515,               0.000515
                     77,                0.77377,                0.41472,                 1.0166,                0.98922,                0.94143,                0.98019,                0.75919,                0.75395,                0.34552,                0.85335,              0.0004952,              0.0004952,              0.0004952
                     78,                0.79262,                0.41462,                  1.011,                0.98841,                0.92821,                0.97766,                0.74528,                0.74739,                  0.345,                0.86426,              0.0004754,              0.0004754,              0.0004754
                     79,                0.76541,                0.40627,                 1.0068,                0.98487,                0.94359,                0.97527,                0.75588,                0.75588,                0.34724,                0.86866,              0.0004556,              0.0004556,              0.0004556
                     80,                0.77066,                0.40277,                 1.0099,                0.98404,                0.94876,                0.97467,                0.75567,                0.73646,                0.34079,                0.85638,              0.0004358,              0.0004358,              0.0004358
                     81,                0.78475,                0.41188,                 1.0115,                 0.9839,                0.94011,                0.97978,                  0.756,                0.74751,                0.34489,                0.87201,               0.000416,               0.000416,               0.000416
                     82,                0.76234,                0.39989,                 1.0038,                0.95707,                 0.9641,                0.98039,                0.76142,                 0.7321,                0.34505,                   0.85,              0.0003962,              0.0003962,              0.0003962
                     83,                0.75891,                0.39718,                 1.0033,                0.99249,                0.94872,                0.98425,                0.75879,                0.76383,                0.33629,                0.85672,              0.0003764,              0.0003764,              0.0003764
                     84,                0.75203,                0.40048,                0.99931,                0.98652,                0.94359,                0.97865,                0.75176,                0.75048,                0.33768,                0.86234,              0.0003566,              0.0003566,              0.0003566
                     85,                0.75863,                0.39494,                0.99983,                0.97403,                0.94359,                0.97956,                0.75864,                0.74059,                 0.3344,                0.85569,              0.0003368,              0.0003368,              0.0003368
                     86,                0.75597,                0.39594,                 1.0029,                0.98774,                0.94359,                0.98166,                0.75758,                0.74797,                0.34644,                0.85954,               0.000317,               0.000317,               0.000317
                     87,                0.74937,                0.39597,                 0.9959,                0.97644,                0.94359,                 0.9739,                0.75262,                0.74224,                0.34161,                0.85765,              0.0002972,              0.0002972,              0.0002972
                     88,                0.75938,                0.39933,                0.99867,                0.98379,                0.93386,                0.97939,                0.75505,                0.73986,                0.34562,                 0.8592,              0.0002774,              0.0002774,              0.0002774
                     89,                0.75722,                0.39456,                0.99961,                0.97853,                0.93507,                0.98166,                0.76319,                0.73389,                0.33792,                0.85803,              0.0002576,              0.0002576,              0.0002576
                     90,                0.75338,                   0.39,                 0.9928,                0.97849,                0.93312,                0.97307,                0.75171,                0.72792,                0.33776,                0.85612,              0.0002378,              0.0002378,              0.0002378
                     91,                0.71531,                0.35632,                  0.959,                0.95235,                0.95897,                0.97852,                0.75227,                0.74494,                0.34231,                0.86283,               0.000218,               0.000218,               0.000218
                     92,                0.69721,                0.33878,                0.95272,                0.98898,                0.92007,                0.97446,                0.74617,                 0.7365,                0.34663,                0.85862,              0.0001982,              0.0001982,              0.0001982
                     93,                0.69917,                0.33779,                0.95187,                0.98854,                0.91795,                0.97192,                0.75305,                 0.7584,                 0.3477,                0.88304,              0.0001784,              0.0001784,              0.0001784
                     94,                0.69505,                0.33792,                0.94748,                0.97512,                0.93846,                0.98171,                0.75611,                0.75145,                0.34497,                0.87777,              0.0001586,              0.0001586,              0.0001586
                     95,                0.69029,                0.33481,                0.95351,                0.97208,                0.93846,                0.97384,                0.75731,                0.74502,                0.34076,                0.87705,              0.0001388,              0.0001388,              0.0001388
                     96,                0.66902,                0.33341,                0.95075,                0.98589,                0.92821,                0.97704,                0.76008,                0.73795,                0.33706,                0.86463,               0.000119,               0.000119,               0.000119
                     97,                0.67638,                0.33041,                0.94324,                0.97349,                0.94162,                0.97872,                0.75966,                0.73451,                0.33291,                0.86703,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.66953,                0.32723,                0.94179,                0.98366,                0.92612,                0.97415,                0.76195,                0.74111,                0.33733,                0.86907,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.66689,                0.32577,                0.93759,                0.97855,                0.93581,                0.97694,                0.75931,                0.73975,                0.33732,                0.86813,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.65619,                0.32193,                0.93801,                0.97745,                0.93333,                0.97562,                0.76068,                0.73552,                0.33564,                0.86684,               3.98e-05,               3.98e-05,               3.98e-05
